DATETIME,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,RH
2022-01-01,8.944444444444446,6.833333333333332,102.82000000000001,0.79,4.6661,1.02888,2.4178680000000004,6.790608,13.111111111111112,5.999999999999999,0.0,,86.61173610115269
2022-01-02,12.777777777777779,5.999999999999999,102.42999999999999,0.42000000000000004,8.849499999999999,1.234656,2.1092039999999996,5.298732,17.11111111111111,6.7777777777777795,0.0,,63.376292558901156
2022-01-03,13.111111111111112,8.61111111111111,102.16,0.16,6.114199999999999,0.77166,2.983752,4.990068,17.11111111111111,8.0,0.0,,74.1350325396654
2022-01-04,15.5,11.666666666666668,101.84,99.86,3.7007,1.080324,2.006316,,20.0,12.000000000000002,0.000762,,77.913752261695
2022-01-05,12.777777777777779,8.777777777777777,102.06,0.06999999999999999,6.2751,3.0351960000000004,4.990068,10.391688,19.111111111111114,10.0,0.0,,76.62870250335769
2022-01-06,8.61111111111111,5.1111111111111125,102.55999999999999,0.53,9.4931,2.9323080000000004,4.990068,10.391688,15.111111111111112,7.000000000000001,0.000254,,78.64192026884383
2022-01-07,7.611111111111113,5.555555555555555,102.63,0.5900000000000001,9.8149,1.851984,2.983752,9.980136,10.611111111111112,7.000000000000001,0.002286,,86.81269584335844
2022-01-08,7.333333333333335,6.388888888888889,102.44000000000001,0.4,8.2059,1.749096,3.703968,8.899812,8.0,6.888888888888888,0.00508,,93.7226258748381
2022-01-09,8.444444444444446,6.222222222222224,102.13,0.1,7.8841,1.54332,2.006316,8.179596,10.0,6.888888888888888,0.000254,,85.90131007435917
2022-01-10,8.222222222222221,6.5555555555555545,102.37,0.33999999999999997,8.5277,1.851984,4.012632,7.97382,9.38888888888889,4.000000000000002,0.00508,,89.23232011518685
2022-01-11,9.666666666666666,3.222222222222221,102.4,0.38,7.5623000000000005,2.366424,6.996384,9.311364000000001,16.0,4.000000000000002,0.0,,64.15157592476511
2022-01-12,10.555555555555555,3.8888888888888893,102.38,0.36,4.6661,1.440432,2.983752,8.076708,15.111111111111112,7.000000000000001,0.0,,63.35671974411207
2022-01-13,12.055555555555557,1.8888888888888882,102.4,0.39,7.723199999999999,3.2924160000000002,6.996384,9.671472000000001,16.0,8.277777777777777,0.0,,49.78046000093106
2022-01-14,9.166666666666668,7.611111111111113,102.11,0.09,2.7353,1.697652,2.983752,5.813172000000001,15.722222222222221,8.0,0.002286,,89.98843747352757
2022-01-15,8.61111111111111,7.833333333333335,102.24,0.21000000000000002,4.1834,2.006316,4.012632,7.20216,10.277777777777779,8.0,0.005588,,94.85564383069595
2022-01-16,8.38888888888889,7.555555555555556,102.49000000000001,0.45,5.7924,1.337544,2.983752,7.20216,9.27777777777778,8.0,0.039878,,94.48784321656913
2022-01-17,9.500000000000002,7.666666666666665,102.55999999999999,0.53,11.5848,1.440432,3.08664,7.6137120000000005,10.999999999999998,7.888888888888891,0.0048259999999999996,,88.32605476764631
2022-01-18,11.833333333333332,7.611111111111113,102.42,0.4,12.3893,1.851984,2.983752,7.099272000000001,16.222222222222225,8.0,0.0,,75.32659601432701
2022-01-19,11.333333333333334,6.666666666666667,102.1,0.1,9.8149,1.3889880000000001,2.983752,5.6073960000000005,17.11111111111111,7.000000000000001,0.0,,72.9817422090291
2022-01-20,10.611111111111112,8.444444444444446,102.02000000000001,0.01,6.7578000000000005,1.234656,2.006316,,17.11111111111111,7.000000000000001,0.000508,,86.44924792575343
2022-01-21,12.055555555555557,10.222222222222221,101.76,99.76,4.827,0.925992,2.006316,,13.777777777777777,9.222222222222223,0.005333999999999999,,88.54530151486622
2022-01-22,12.055555555555557,11.38888888888889,101.3,99.31,8.3668,1.697652,4.012632,7.819488,13.777777777777777,10.0,0.019303999999999998,,95.691949200817
2022-01-23,8.777777777777777,6.7777777777777795,101.7,99.69,14.6419,2.675088,4.012632,9.568584000000001,12.777777777777779,5.999999999999999,0.005588,,87.2589481246288
2022-01-24,7.722222222222221,4.333333333333332,102.03,0.0,15.446399999999999,2.7265319999999997,4.990068,9.105588,10.999999999999998,5.999999999999999,0.000762,,79.12086011718138
2022-01-25,6.666666666666667,4.944444444444444,102.03,,10.4585,2.160648,3.189528,6.5848320000000005,9.61111111111111,5.999999999999999,0.001778,,88.76083976148315
2022-01-26,7.277777777777779,6.111111111111112,101.92999999999999,99.9,9.010399999999999,2.05776,3.189528,8.385372,8.0,5.999999999999999,0.002794,,92.29394153574057
2022-01-27,6.722222222222223,4.555555555555557,102.22999999999999,0.19,15.607299999999999,2.4178680000000004,4.012632,9.0027,8.0,5.0,0.000254,,86.05409562150582
2022-01-28,5.1111111111111125,2.7222222222222214,102.24,0.19,15.9291,2.6236439999999996,3.395304,9.877248,7.722222222222221,4.000000000000002,0.000254,,84.54275917550007
